Repository,Path,BackendType,BackendRegion,Providers,Modules,Resources,Variables,Outputs,UntaggedResources
terraform-aws-transfer-sftp,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-transfer-sftp,none,none,2,11,11,70,11,11
terraform-aws-ssm-tls-self-signed-cert,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ssm-tls-self-signed-cert,none,none,1,11,13,125,14,13
terraform-aws-dynamic-subnets,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-dynamic-subnets,none,none,1,18,49,169,93,49
terraform-aws-vpc-peering,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-vpc-peering,none,none,1,8,3,55,12,3
terraform-cloudflare-waf-rulesets,/home/family/src/gh-repos-clone/cloudposse/terraform-cloudflare-waf-rulesets,none,none,0,3,3,39,2,3
terraform-aws-msk-apache-kafka-cluster,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-msk-apache-kafka-cluster,none,none,1,7,5,113,40,5
terraform-aws-vpc-flow-logs-s3-bucket,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-vpc-flow-logs-s3-bucket,none,none,1,7,1,77,21,1
terraform-aws-rds-cluster,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-rds-cluster,none,none,1,22,22,214,106,22
terraform-aws-waf,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-waf,none,none,1,4,4,61,7,4
terraform-cloudflare-zone,/home/family/src/gh-repos-clone/cloudposse/terraform-cloudflare-zone,none,none,0,3,6,51,13,6
terraform-tls-ssh-key-pair,/home/family/src/gh-repos-clone/cloudposse/terraform-tls-ssh-key-pair,none,none,1,3,4,44,5,4
terraform-aws-ecs-web-app,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-ecs-web-app,none,none,2,29,9,361,129,9
terraform-aws-vpc,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-vpc,none,none,1,18,15,122,35,15
terraform-spacelift-cloud-infrastructure-automation,/home/family/src/gh-repos-clone/cloudposse/terraform-spacelift-cloud-infrastructure-automation,none,none,1,20,15,298,18,15
github-action-matrix-outputs-write,/home/family/src/gh-repos-clone/cloudposse/github-action-matrix-outputs-write,none,none,0,0,0,0,0,0
terraform-provider-template,/home/family/src/gh-repos-clone/cloudposse/terraform-provider-template,none,none,0,0,0,0,0,0
terratest,/home/family/src/gh-repos-clone/cloudposse/terratest,s3,none,4,2,214,261,213,214
terraform-provider-utils,/home/family/src/gh-repos-clone/cloudposse/terraform-provider-utils,none,none,2,26,2,221,59,2
terraform-yaml-stack-config,/home/family/src/gh-repos-clone/cloudposse/terraform-yaml-stack-config,none,none,0,37,0,305,38,0
atmos,/home/family/src/gh-repos-clone/cloudposse/atmos,none,none,4,44,12,408,135,12
terraform-opsgenie-incident-management,/home/family/src/gh-repos-clone/cloudposse/terraform-opsgenie-incident-management,none,none,1,68,23,489,118,23
terraform-datadog-platform,/home/family/src/gh-repos-clone/cloudposse/terraform-datadog-platform,none,none,1,25,9,302,51,9
terraform-aws-components,/home/family/src/gh-repos-clone/cloudposse/terraform-aws-components,s3,none,17,1222,566,8230,1425,566
